Data,Fechamento,Abertura,Maxima,Minima,Volume,Variacao,Amplitude,Fech_Abert,Target,Retorno,Lag1,Lag2,Lag3,MM5,MM20,MM50,MM100,Dist_MM20_pct,Dist_MM50_pct,Dist_MM100_pct,Slope_MM20,Slope_MM50,Slope_MM100,Volatilidade5,RSI14,EMA12,EMA26,MACD,MACDsig,STOCHK,STOCHD,TR,ATR14,Cross_5_20,Cross_20_50,Cross_50_100,Cross_EMA12_26,Cross_STOCH,Ret_2d,Ret_3d,Ret_5d,Ret_10d,Ret_20d,ZClose_20,ZVolume_20,DOW,DOW_sin,DOW_cos,DOW_0,DOW_1,DOW_2,DOW_3,DOW_4
2020-07-28,104.109,104.477,104.663,103.592,9090000.0,-0.35,1.070999999999998,-0.3680000000000092,0,-0.35223063449372205,2.0462581313121397,0.0870049759025493,-1.9148528142679089,103.51020000000001,100.77595,95.19328,86.53779999999999,3.307386335727913,9.365913224126743,20.304652995569583,0.4511912985318389,0.48377061989139936,-0.03598287838769698,1.4125470012794876,63.812312981416355,102.4552933860882,100.37856611068067,2.076727275407535,1.879849598325272,81.28491620110591,77.04253705884179,1.070999999999998,1.8586428571428573,1,1,1,1,1,1.6868199488191182,1.7752925420116528,-0.1926948518838123,3.6529271206690472,9.523859619592656,1.178052315292517,-0.32785276666985,1,0.7818314824680298,0.6234898018587336,False,True,False,False,False
2020-07-29,105.605,104.112,105.704,104.112,9240000.0,1.44,1.5919999999999987,1.4930000000000092,1,1.4369554985640187,-0.35223063449372205,2.0462581313121397,0.0870049759025493,103.7732,101.24605,95.69054,86.57152,4.305303762467783,10.360961491073217,21.985844767424666,0.4664803457570921,0.522368805865292,0.038965631203957685,1.5580981021217128,69.42084011324224,102.93986363438233,100.76570936174136,2.174154272640976,1.938710533188413,98.6648685097643,89.10004102543121,1.5949999999999989,1.8775714285714287,1,1,1,1,1,1.0796634666003113,3.1480142993885574,1.2609070860101657,3.7468931437946384,9.773083999459487,1.5509451523802997,-0.16789559047375507,2,0.9749279121818236,-0.22252093395631434,False,False,True,False,False
2020-07-30,105.009,105.605,105.607,103.92,9590000.0,-0.56,1.6869999999999976,-0.5960000000000036,0,-0.5643672174612924,1.4369554985640187,-0.35223063449372205,2.0462581313121397,104.3164,101.68475,96.16434000000001,86.64164000000001,3.2691726143792454,9.197442627901342,21.199229377467923,0.4333008547000139,0.4951377638792831,0.08099661412899195,1.1504150843980645,65.25096525090927,103.25819230601581,101.08002718679755,2.1781651192182636,1.9866014503943832,90.62710721509238,90.1922973086542,1.6869999999999976,1.9007857142857145,1,1,1,1,1,0.8644785753393114,0.5092029824746103,2.655118141026258,4.431493839069955,9.117265028316112,1.2458126154018836,0.142738671200847,3,0.43388373911755823,-0.900968867902419,False,False,False,True,False
2020-07-31,102.912,105.01,105.462,102.642,12930000.0,-2.0,2.8200000000000074,-2.097999999999999,0,-1.9969716881410138,-0.5643672174612924,1.4369554985640187,-0.35223063449372205,104.42240000000001,101.99210000000001,96.56204000000001,86.81009000000002,0.901932600662203,6.576041682632217,18.54843140929814,0.30225771317726746,0.4135628654031276,0.19442152757036535,1.6292319713800636,62.33971543996296,103.20493195124416,101.2157288766644,1.9892030745797626,1.9871217752314592,62.34659474038282,83.87952348841317,2.8200000000000074,1.9478571428571436,1,1,1,1,0,-2.550068652052462,-1.1497565052012715,0.517669121525266,0.023326335432694023,6.35250348783134,0.38111524789327944,3.0400965762905443,4,-0.433883739117558,-0.9009688679024191,False,False,False,False,True
2020-08-03,102.83,102.913,103.863,102.304,10900000.0,-0.08,1.5589999999999975,-0.08299999999999841,0,-0.07967972636816478,-1.9969716881410138,-0.5643672174612924,1.4369554985640187,104.093,102.18674999999999,96.97518,86.91625,0.6294847423956806,6.037441745403305,18.30929199085325,0.19084811470690966,0.42784928735970507,0.12228993196525817,1.2265044439895267,57.75068102212942,103.14725011259122,101.33530451543,1.8119455971612268,1.952086539617413,48.16017316016453,67.04462503854658,1.5589999999999975,1.8918571428571431,1,1,1,1,0,-2.075060232932413,-2.6277164906964634,-1.5764235190520504,-1.5283550073736496,3.9348272132771367,0.27857548818729777,0.976829878934459,0,0.0,1.0,True,False,False,False,False
2020-08-04,101.216,102.826,103.012,100.004,12030000.0,-1.57,3.0079999999999956,-1.6099999999999994,0,-1.5695808616162599,-0.07967972636816478,-1.9969716881410138,-0.5643672174612924,103.5144,102.3595,97.28623999999999,87.0767,-1.1171410567656137,4.03937905298839,16.237753612619677,0.16905322852522886,0.32076248788608375,0.18460299426170668,1.3511624737569772,48.166571009458934,102.8501347106541,101.32646714391667,1.52366756673743,1.8664027450414165,21.263157894732963,43.92330859842678,3.0079999999999956,1.9871428571428567,1,1,1,1,0,-1.6480099502487633,-3.6120713462655663,-2.778818353840684,-2.966158565813448,3.534129151706722,-0.5502255977188137,1.7664109855434726,1,0.7818314824680298,0.6234898018587336,False,True,False,False,False
2020-08-05,102.802,101.22,103.763,101.22,10920000.0,1.57,2.5430000000000064,1.5820000000000078,1,1.5669459374012096,-1.5695808616162599,-0.07967972636816478,-1.9969716881410138,102.9538,102.51110000000001,97.6329,87.37889000000001,0.2837741473850075,5.2944243180321315,17.65084221143114,0.1481054518633007,0.35632993936245416,0.3470388749229336,1.3994532829858706,57.0154095701043,102.84272937055349,101.43576587399691,1.4069634965565712,1.7745148953444476,49.08771929823713,39.503683451044886,2.5470000000000113,2.0524999999999998,1,1,1,1,1,-0.0272294077603763,-0.10688743781094301,-2.654230386818801,-1.4267906798350771,3.038989676255399,0.14632569199413314,0.7133208201451526,2,0.9749279121818236,-0.22252093395631434,False,False,True,False,False
2020-08-06,104.126,102.795,104.523,102.795,9690000.0,1.29,1.7279999999999944,1.331000000000003,1,1.2879126865235957,1.5669459374012096,-1.5695808616162599,-0.07967972636816478,102.7772,102.7594,97.95649999999999,87.59337,1.3299026658388557,6.298203794541468,18.87429379643688,0.24221767203744804,0.3314456499806884,0.2454597443386941,1.6160610346263335,54.12172060189387,103.04015562123757,101.63504247592307,1.4051131453145018,1.7006345453384586,72.31578947367167,47.555555555547265,1.7279999999999944,1.999928571428571,1,1,1,1,1,2.8750395194435674,1.260332587766233,-0.8408803054976155,1.7919114699930683,5.008067769261815,0.7375097201190068,-0.383445151553103,3,0.43388373911755823,-0.900968867902419,False,False,False,True,False
2020-08-07,102.776,104.116,104.126,101.956,10340000.0,-1.3,2.1700000000000017,-1.3400000000000034,0,-1.2965061560033075,1.2879126865235957,1.5669459374012096,-1.5695808616162599,102.75,102.89659999999999,98.27304,87.90944999999999,-0.11720503884481426,4.582090876602574,16.911208066937068,0.13351576595426184,0.3231434361170571,0.36084922865737834,1.4372931985235862,44.43695212403087,102.99951629489334,101.71955784807692,1.2799584468164227,1.6164993256340514,48.631578947359834,56.67836257308955,2.1700000000000017,2.0338571428571433,0,1,1,1,0,-0.025291336744426296,1.5412582990831591,-0.13215174129354024,0.3848332714734948,2.74312220089572,-0.0693714332116807,0.14297519396206987,4,-0.433883739117558,-0.9009688679024191,False,False,False,False,True
2020-08-10,103.444,102.776,103.722,101.282,8260000.0,0.65,2.4399999999999977,0.6680000000000064,1,0.6499571884486688,-1.2965061560033075,1.2879126865235957,1.5669459374012096,102.87280000000001,103.13395,98.59386,88.19772,0.30062845454867926,4.919312419657773,17.286478607383504,0.2306684574611806,0.32645779554596466,0.3279169645584279,1.4662367138971588,47.185021453604186,103.06789840337129,101.84729430377493,1.2206040995963576,1.5373202804265127,60.35087719297195,60.43274853800116,2.4399999999999977,2.0855,0,1,1,1,0,-0.65497570251426,0.6245014688430084,0.5971020130312255,-0.9887343625869849,4.809670000101329,0.21652207934855427,-1.5338409110012694,0,0.0,1.0,True,False,False,False,False
2020-08-11,102.174,103.449,104.409,102.174,9360000.0,-1.23,2.2349999999999994,-1.2749999999999915,0,-1.2277174123197065,0.6499571884486688,-1.2965061560033075,1.2879126865235957,103.0644,103.22065,98.86494,88.55050999999999,-1.0139928396110665,3.347051037506321,15.384993265425596,0.0840654314122613,0.27494612747689384,0.39999900224176876,1.3722599091381964,43.638768638731925,102.9303755720834,101.87149472571753,1.0588808463658808,1.4416323936143864,38.07017543858992,49.01754385964057,2.2349999999999994,2.1235,0,1,1,1,0,-0.5857398614462439,-1.8746518640877396,0.9464906734113265,-1.8586289369795006,1.7264038231780354,-0.8005997991408034,-0.5716688056929153,1,0.7818314824680298,0.6234898018587336,False,True,False,False,False
2020-08-12,102.118,102.176,103.116,100.698,10110000.0,-0.05,2.4180000000000064,-0.058000000000006935,0,-0.05480846399280592,-1.2277174123197065,0.6499571884486688,-1.2965061560033075,102.92760000000001,103.23700000000001,99.08638,88.88837,-1.0839137131067433,3.0595728696517055,14.883420631967947,0.01583985375019914,0.22398233387892486,0.381544951011592,1.1390969973311618,49.404397249969904,102.8053947148398,101.88975437566437,0.9156403391754395,1.3364339827265972,37.08771929823901,45.169590643266964,2.4180000000000064,2.094071428571429,0,1,1,1,0,-1.2818529832566483,-0.640227290417994,-0.6653567051224774,-3.301926992093185,0.3212464756216171,-0.8671411904321671,0.02200510446048503,2,0.9749279121818236,-0.22252093395631434,False,False,True,False,False
2020-08-13,100.461,102.118,103.237,100.187,10720000.0,-1.62,3.049999999999997,-1.6569999999999965,0,-1.622632640670596,-0.05480846399280592,-1.2277174123197065,0.6499571884486688,102.19460000000001,103.23240000000001,99.23555999999999,89.22228999999999,-2.6846222697525346,1.2348799160301072,12.596303009035093,-0.004455766827782259,0.15055550520666205,0.37566219292803904,0.9648417029536868,44.09250261389893,102.44471860486446,101.78392071820774,0.6607978866567237,1.2013067635126224,8.01754385964762,27.725146198825524,3.049999999999997,2.1808571428571426,0,1,1,1,0,-1.6765517646368022,-2.8836858590155057,-3.519774119816377,-4.331057337942468,-0.0914940379700191,-2.130793731302186,0.4626141426717204,3,0.43388373911755823,-0.900968867902419,False,False,False,True,False
2020-08-14,101.353,100.469,101.717,100.445,8580000.0,0.89,1.2720000000000056,0.8840000000000003,1,0.8879067498830384,-1.622632640670596,-0.05480846399280592,-1.2277174123197065,101.91,103.15565000000001,99.38604,89.60012,-1.7475048627971557,1.9791109495860715,13.117036003969629,-0.07434681359728135,0.15163919062883835,0.42347041305488275,1.1158129938692745,39.625398512184205,102.27676189642378,101.75200066500717,0.5247612314166048,1.0659976570934189,23.66666666666238,22.923976608183008,1.2720000000000056,2.1142857142857148,0,1,1,1,1,-0.749133355529874,-0.8035312310372578,-1.3845644897641507,-1.5148865049751326,-1.4919135370500047,-1.3199485112816423,-1.3373765197633622,4,-0.433883739117558,-0.9009688679024191,False,False,False,False,True
2020-08-17,99.595,101.348,101.689,98.513,10820000.0,-1.73,3.1759999999999877,-1.7530000000000001,0,-1.7345317849496222,0.8879067498830384,-1.622632640670596,-0.05480846399280592,101.1402,102.9141,99.4852,89.89877999999999,-3.2251168693114063,0.11036817536678178,10.785708104158932,-0.23416070762968255,0.09977256363169484,0.33332544643911444,1.1319268576204762,36.27629818797841,101.8641831431278,101.5922228379696,0.2719603051582027,0.9071901867063756,15.046586010288484,15.576932178866166,3.1759999999999877,2.264642857142857,0,1,1,1,0,-0.8620260598640295,-2.4706711843161755,-3.720853795290213,-3.1459690751726166,-4.626242506655432,-2.1487234341494106,0.5365438316111375,0,0.0,1.0,True,False,False,False,False
